,fold,p_val
KLF13,0.9421409449782931,3.454789625935586e-05
DLG4,0.5131887487447901,0.0003297917080306681
ARL4C,0.563456129767161,0.00040569258761797655
TYMP,0.5889326692462831,0.00041907443854034636
RARA-AS1,0.504508618568897,0.0011488801292275964
PTP4A2,0.829294058920806,0.0012240911578939822
WDR86,0.5446326205092653,0.001513715749616163
CEBPD,0.5912848220388378,0.0015374929465310641
MIR4665,0.5938071207805438,0.0016328340167315989
YY1,0.6081940144536606,0.001767908552525208
PPP1R18,0.6152737506224559,0.0020040476254005574
JUND,0.573067706032627,0.0020723775863283377
TAGLN2,0.6408413531685371,0.0021503276097774447
NCAPH2,0.4577143439675204,0.0021526736860408772
TOR1A,0.5350332253949608,0.0024750482571667173
MAF1,0.4213463172416043,0.002798697107841089
GAPDH,0.5828717927911633,0.0028046958256088437
JARID2-AS1,0.605047913345504,0.0031195851584505034
ODF3B,0.4353745643920144,0.003264593041119862
JUNB,0.48742261960330513,0.003548190301248332
