Gene Name,Diabetes-relevant evidence,Diabetes-relevant mechanism
BAD,Direct evidence,Activates Beta-cell apoptosis in T1DM & T2DM
RPPH1,Direct evidence,"Under high glucose conditions it facilitates kidney cell proliferation and inflammation, worsens diabetic nephropathy."
MTRNR2L8,limited evidence,
JUNB,limited evidence,
MTRNR2L2,limited evidence,
TGFB1,limited evidence,
JUN,limited evidence,
RARA-AS1,limited evidence,
IFIT5,limited evidence,
ISG20,limited evidence,
APOL6,limited evidence,
HIF1A-AS1,limited evidence,
PPP1R15A,limited evidence,
DLG4,limited evidence,
KLF13,limited evidence,
APOBEC3B-AS1,limited evidence,
MIR6723,limited evidence,
NCAPH2,limited evidence,
ARIH2OS,limited evidence,
ADPGK-AS1,limited evidence,
